Model	Sim	ModPop and m	m	thetha	Ne 1	Ne 2	growth	Split 	PopSizet1	PopSize T2
IM	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	
IM_ae_2	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.5
IM_AE_4	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.25
IM_AE_8	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.125
IM_AE_16	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.0625
IM_AE_32	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.03125
IM_AE_64	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.015625
IM_AE_128	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25		-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.007813
IM_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	 -eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	
IM_AE_2_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.5
IM_AE_4_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.25
IM_AE_8_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.125
IM_AE_16_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.0625
IM_AE_32_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.03125
IM_AE_64_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.015625
IM_AE_128_B_1	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2 184.2068	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.007813
IM_B_2	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2  156,4809	-ej 0.05 2 1	-en 0.05 1 1	
IM_ae_2_B_2	ms 40 100000	-I 2 20 20	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eg 0.025 2  156.4809	-ej 0.05 2 1	-en 0.05 1 1	-en 0.5 1 0.5
