Model	Sim	ModPop and m	Theta	Ne 1	Ne 2	growth	Ts	Gowth	Split	PopSize T2	Recombination
SC	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	
SC_ae_2	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.5
SC_AE_4	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.25
SC_AE_8	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.125
SC_AE_16	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.0625
SC_AE_32	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.03125
SC_AE_64	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.015625
SC_AE_128	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0		-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.007813
SC_B_1	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0	 -eg 0.075 2 184.2068	-ej 0.1 2 1	-en 0.1 1 1	
SC_AE_2_B_1	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0	-eg 0.075 2 184.2068	-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.5
SC_AE_4_B_1	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0	-eg 0.075 2 184.2068	-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.25
SC_AE_8_B_1	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0	-eg 0.075 2 184.2068	-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.125
SC_AE_16_B_1	ms 80 1000000	-I 2 40 40	-ma x 4 16 x	-t 0.0288	-n 1 1	-n 2 0.25	-eM 0.02 0	-eg 0.075 2 184.2068	-ej 0.1 2 1	-en 0.1 1 1	-en 0.5 1 0.0625
